ID;Área;Subtema;Pregunta;A;B;C;D;Respuesta correcta;Explicación técnica
I-01;Mecánica;Dinámica;Un bloque se mueve con velocidad constante sobre una superficie horizontal. ¿Qué se puede afirmar sobre la fuerza neta?;Es máxima;Es igual al peso;Es cero;Es variable;C;Velocidad constante implica aceleración cero, por lo tanto fuerza neta nula.
I-02;Mecánica;Estática;Una viga está en equilibrio. ¿Qué condición adicional a ?F=0 debe cumplirse?;?v=0;?M=0;?a=0;?E=0;B;Para equilibrio estático deben anularse fuerzas y momentos.
I-03;Materiales;Selección;Para un eje sometido a cargas cíclicas, ¿qué propiedad es más relevante?;Dureza;Módulo elástico;Resistencia a fatiga;Conductividad;C;La fatiga es el modo de falla típico bajo cargas repetidas.
I-04;Materiales;Tratamientos;¿Por qué un acero templado se vuelve frágil si no se revenida?;Baja dureza;Tensiones internas;Baja densidad;Exceso de ductilidad;B;El templado genera tensiones internas que se alivian con el revenido.
I-05;Tribología;Fricción;¿Qué efecto tiene subestimar el coeficiente de fricción en un diseño?;Aumenta seguridad;Reduce costos;Riesgo de deslizamiento;Mejora eficiencia;C;Un ? menor al real puede causar fallas por deslizamiento.
I-06;Tribología;Lubricación;¿Qué ocurre si se pierde la película lubricante en un contacto metálico?;Flujo laminar;Desgaste adhesivo;Menor temperatura;Mayor vida útil;B;Sin lubricación aparecen micro-soldaduras y desgaste adhesivo.
I-07;Elementos de máquinas;Rodamientos;¿Qué consecuencia tiene una desalineación en un rodamiento?;Menor carga;Aumento de vida;Vibración y desgaste;Mejor lubricación;C;La desalineación genera cargas adicionales y vibraciones.
I-08;Elementos de máquinas;Fajas;¿Qué efecto tiene una tensión excesiva en una faja?;Menor desgaste;Mayor eficiencia;Sobrecarga en ejes;Menor patinaje sin efectos;C;La tensión excesiva sobrecarga rodamientos y ejes.
I-09;Elementos de máquinas;Engranajes;¿Qué ventaja tiene un engranaje helicoidal frente a uno recto?;Menor costo;Menor contacto;Menor ruido;Mayor patinaje;C;El contacto progresivo reduce ruido y vibraciones.
I-10;Metrología;Tolerancias;¿Qué ocurre si se especifican tolerancias demasiado estrictas sin justificación?;Mejora calidad;Reduce reprocesos;Aumenta costos;Elimina inspección;C;Tolerancias innecesariamente cerradas elevan costos de fabricación.
I-11;Metrología;Ajustes;¿Por qué el aro interno de un rodamiento suele montarse con interferencia?;Facilitar desmontaje;Evitar giro relativo;Reducir fricción;Aumentar holgura;B;Evita que el aro gire sobre el eje.
I-12;Hidráulica;Sistemas;¿Por qué se dice que una bomba hidráulica no “genera presión”?;Porque no gira;Porque solo entrega caudal;Porque enfría el fluido;Porque regula fuerza;B;La presión depende de la carga del sistema, no de la bomba.
I-13;Hidráulica;Pérdidas;¿Qué aumenta las pérdidas de carga en una tubería?;Mayor diámetro;Menor rugosidad;Mayor longitud;Menor velocidad;C;Mayor longitud incrementa fricción fluido-pared.
I-14;Neumática;Precisión;¿Por qué la neumática es menos precisa que la hidráulica?;Menor presión;Aire compresible;Mayor velocidad;Menor costo;B;La compresibilidad del aire reduce precisión de posicionamiento.
I-15;Neumática;Energía;¿Qué factor reduce la eficiencia energética de la neumática?;Aire limpio;Fugas;Reguladores;Filtros;B;Las fugas representan pérdidas energéticas significativas.
I-16;Fluidos;Régimen;¿Qué parámetro define si un flujo es laminar o turbulento?;Presión;Viscosidad;Número de Reynolds;Caudal;C;El número de Reynolds caracteriza el régimen de flujo.
I-17;Fluidos;Diseño;¿Por qué se evitan cambios bruscos de sección en tuberías?;Aumentan caudal;Reducen presión;Generan pérdidas locales;Disminuyen velocidad;C;Las pérdidas locales reducen energía disponible.
I-18;Electricidad;Motores;¿Qué ocurre si un motor opera con sobrecorriente prolongada?;Aumenta torque;Se enfría;Se sobrecalienta;Mejora rendimiento;C;La sobrecorriente incrementa pérdidas y temperatura.
I-19;Electricidad;Protección;¿Qué función cumple un relé térmico?;Medir voltaje;Proteger contra cortocircuito;Proteger contra sobrecarga;Arranque suave;C;El relé térmico protege al motor ante sobrecarga prolongada.
I-20;Seguridad;Ingeniería;¿Por qué se usa un factor de seguridad en diseño?;Simplificar cálculos;Reducir peso;Compensar incertidumbres;Evitar normas;C;Considera variaciones reales de carga, material y uso.
I-21;Mecánica;Trabajo–energía;Si no hay pérdidas, ¿qué principio permite relacionar velocidad y altura?;Pascal;Conservación de energía;Hooke;Coulomb;B;La energía mecánica se conserva en ausencia de pérdidas.
