ID;Área;Escenario;Pregunta;A;B;C;D;Respuesta correcta;Criterio técnico
A-01;Mecánica;Planta;Un eje falla repetidamente cerca del chavetero. ¿Cuál es la causa más probable?;Sobrecarga estática;Fatiga por concentración de esfuerzos;Defecto de material;Error de lubricación;B;Los chaveteros generan concentradores críticos bajo carga cíclica.
A-02;Mecánica;Diseño;Una viga presenta flecha excesiva sin fallar. ¿Qué modificarías primero?;Material;Momento de inercia;Carga aplicada;Apoyo;B;Incrementar I reduce deflexión sin cambiar material.
A-03;Materiales;Falla;Una fractura muestra superficie brillante y sin deformación previa. ¿Tipo de falla?;Dúctil;Fatiga;Frágil;Fluencia;C;La ausencia de deformación indica falla frágil.
A-04;Materiales;Selección;Componente sometido a impacto y bajas temperaturas. ¿Mejor opción?;Fundición gris;Cerámica;Acero aleado tenaz;Vidrio;C;Se requiere tenacidad a baja temperatura.
A-05;Tribología;Mantenimiento;Engranajes con picado prematuro. ¿Acción prioritaria?;Cambiar material;Aumentar carga;Revisar lubricación;Reducir velocidad;C;El picado suele estar ligado a lubricación insuficiente.
A-06;Tribología;Diagnóstico;Rodamiento con coloración azulada. ¿Indica?;Contaminación;Alta temperatura;Fatiga superficial;Falta de carga;B;La coloración indica sobrecalentamiento.
A-07;Elementos de máquinas;Planta;Rodamiento falla antes de L10 pese a carga correcta. ¿Qué revisar primero?;Cálculo teórico;Alineación y montaje;Catálogo;Material del eje;B;Errores de montaje reducen drásticamente la vida real.
A-08;Elementos de máquinas;Transmisión;Faja patina pese a tensión correcta. ¿Causa probable?;Exceso de potencia;Baja fricción polea–faja;Desalineación menor;Material del eje;B;Contaminación o material inadecuado reduce ?.
A-09;Metrología;Producción;Piezas cumplen tolerancia pero no ensamblan. ¿Problema?;Error humano;Falta de GD&T;Mal material;Medición incorrecta;B;Las tolerancias dimensionales no controlan forma/posición.
A-10;Metrología;Calidad;Cp alto y Cpk bajo persisten. ¿Mejor acción?;Aumentar tolerancia;Centrar el proceso;Cambiar instrumento;Aumentar inspección;B;El proceso debe centrarse antes de cambiar tolerancias.
A-11;Hidráulica;Planta;Cilindro se mueve a tirones. ¿Causa más probable?;Baja presión;Aire atrapado;Válvula grande;Exceso de caudal;B;El aire compresible genera movimientos erráticos.
A-12;Hidráulica;Diagnóstico;Sistema pierde fuerza con temperatura. ¿Qué revisar?;Bomba;Viscosidad del aceite;Cilindro;Válvula direccional;B;La viscosidad cae con temperatura, aumentando fugas internas.
A-13;Neumática;Planta;Consumo de aire se incrementa sin cambios operativos. ¿Prioridad?;Aumentar presión;Buscar fugas;Cambiar compresor;Cambiar válvulas;B;Las fugas son la principal causa de consumo excesivo.
A-14;Neumática;Seguridad;Actuador se mueve al desmontar línea. ¿Falla?;Falta de lubricación;Presión residual;Aire húmedo;Válvula lenta;B;Energía neumática almacenada no fue purgada.
A-15;Fluidos;Bombas;Bomba cavita tras modificación del sistema. ¿Cambio crítico?;Mayor caudal;Menor NPSHa;Mayor potencia;Mejor eficiencia;B;La cavitación aparece cuando NPSHa cae bajo NPSHr.
A-16;Fluidos;Diseño;Sistema presenta pérdidas excesivas. ¿Acción más efectiva?;Aumentar presión;Reducir rugosidad;Aumentar velocidad;Cambiar fluido;B;Menor rugosidad reduce pérdidas por fricción.
A-17;Electricidad;Motores;Motor se calienta pese a corriente nominal. ¿Causa probable?;Baja carga;Ventilación deficiente;Buen alineamiento;FP alto;B;La falta de ventilación eleva temperatura aun sin sobrecorriente.
A-18;Electricidad;Diagnóstico;Motor trifásico vibra y se calienta. ¿Qué revisar primero?;Aislamiento;Balance de fases;Placa;Lubricación;B;El desbalance genera corrientes y vibraciones.
A-19;Seguridad;Planta;Incidente repetitivo pese a EPP. ¿Qué falla?;Trabajador;Jerarquía de controles;Falta de señalización;Capacitación;B;"El EPP es la última barrera; el peligro no fue eliminado."
A-20;Ingeniería;Decisión;Ante falla crítica recurrente, ¿primer paso correcto?;Reparar rápido;Cambiar proveedor;Análisis causa raíz;Aumentar stock;C;Sin RCA, la falla se repite.
A-21;Mecánica;Planta;Un eje se rompe siempre después de un cambio de velocidad frecuente. ¿Qué modo de falla predomina?;Fluencia;Impacto;Fatiga por carga variable;Sobrecarga estática;C;Las variaciones de carga y ciclos aceleran la fatiga.
A-22;Mecánica;Diseño;Un soporte vibra pese a rigidez “suficiente” en cálculo estático. ¿Qué faltó analizar?;Resistencia;Estabilidad térmica;Frecuencia natural;Material;C;La resonancia ocurre cuando la excitación coincide con la frecuencia natural.
