ID;Área;Subtema;Pregunta;A;B;C;D;Respuesta correcta;Explicación técnica
1;Materiales;Propiedades mecánicas;¿Qué propiedad mecánica indica cuánta energía puede absorber un material antes de fracturarse?;Dureza;Tenacidad;Elasticidad;Fragilidad;B;La tenacidad mide la energía absorbida antes de la fractura, combinando resistencia y ductilidad.
2;Materiales;Tratamientos térmicos;¿Qué tratamiento térmico aumenta principalmente la dureza del acero?;Recocido;Templado;Normalizado;Revenido suave;B;El templado produce una estructura martensítica que incrementa la dureza.
3;Materiales;Modos de falla;¿Qué tipo de falla se produce por cargas repetitivas en el tiempo?;Fluencia;Fatiga;Impacto;Deformación térmica;B;La fatiga ocurre por esfuerzos cíclicos incluso por debajo del límite elástico.
4;Materiales;Ensayos mecánicos;¿Qué ensayo determina la resistencia máxima a tracción de un material?;Rockwell;Tracción;Izod;Brinell;B;El ensayo de tracción permite obtener el esfuerzo máximo antes de la rotura.
5;Materiales;Corrosión;¿Qué tipo de corrosión ataca áreas muy localizadas del metal?;Uniforme;Galvánica;Picadura;Intergranular;C;La corrosión por picadura genera pequeños agujeros profundos y es muy peligrosa.
6;Materiales;Temperatura;¿Qué fenómeno ocurre cuando un metal trabaja por encima de su temperatura crítica durante largo tiempo?;Fatiga;Ablandamiento;Fluencia;Fragilización;C;La fluencia es la deformación progresiva bajo carga constante y alta temperatura.
7;Tribología;Fricción;¿Qué coeficiente se usa para analizar el inicio del movimiento?;Cinético;Dinámico;Estático;Rodadura;C;El coeficiente de fricción estática determina si un cuerpo comienza a moverse.
8;Elementos de máquinas;Rodamientos;¿Cuál es la función principal de un rodamiento?;Aumentar fricción;Reducir fricción;Transmitir potencia;Absorber impacto;B;Los rodamientos reducen la fricción entre partes móviles.
9;Elementos de máquinas;Rodamientos;¿Qué factor reduce más la vida útil de un rodamiento?;Exceso de lubricación;Contaminación;Baja velocidad;Alta precisión;B;Partículas contaminantes generan desgaste acelerado.
10;Elementos de máquinas;Fajas;¿Qué provoca el patinaje de una faja?;Exceso de tensión;Baja fricción;Exceso de fricción;Alta rigidez;B;Un bajo coeficiente de fricción causa deslizamiento entre faja y polea.
11;Metrología;Ajustes;¿Qué tipo de ajuste permite siempre el movimiento entre piezas?;Ajuste con interferencia;Ajuste de transición;Ajuste con juego;Ajuste forzado;C;El ajuste con juego garantiza holgura entre eje y agujero.
12;Metrología;Tolerancias;¿Para qué sirven las tolerancias dimensionales?;Aumentar costos;Controlar calidad;Eliminar errores;Evitar mediciones;B;Permiten controlar variaciones aceptables en fabricación.
13;Hidráulica;Principios;¿Qué principio establece que la presión se transmite igual en todas direcciones?;Bernoulli;Pascal;Arquímedes;Newton;B;El principio de Pascal es base de los sistemas hidráulicos.
14;Hidráulica;Fluidos;¿Qué propiedad del fluido influye directamente en las pérdidas por fricción?;Densidad;Viscosidad;Color;Presión atmosférica;B;La viscosidad mide la resistencia interna al flujo.
15;Neumática;Aire comprimido;¿Qué ventaja principal tiene la neumática frente a la hidráulica?;Mayor fuerza;Mayor precisión;Mayor limpieza;Menor ruido;C;La neumática es más limpia y segura en ambientes sensibles.
16;Fluidos;Flujo;¿Qué tipo de flujo se caracteriza por trayectorias ordenadas?;Turbulento;Caótico;Laminar;Compresible;C;En flujo laminar las partículas siguen trayectorias paralelas.
17;Electricidad;Fundamentos;¿Qué magnitud eléctrica se mide en amperios?;Voltaje;Potencia;Corriente;Resistencia;C;El amperio es la unidad de corriente eléctrica.
18;Electricidad;Seguridad;¿Qué dispositivo protege contra sobrecorriente?;Transformador;Interruptor termomagnético;Relé de tiempo;Sensor;B;El interruptor termomagnético protege ante sobrecargas y cortocircuitos.
19;Electrónica;Componentes;¿Cuál es la función principal de una resistencia?;Almacenar energía;Limitar corriente;Amplificar señal;Rectificar voltaje;B;La resistencia controla el paso de corriente eléctrica.
20;Diseño mecánico;Seguridad;¿Qué se busca principalmente con un factor de seguridad?;Reducir peso;Aumentar eficiencia;Prevenir fallas;Disminuir costos;C;El factor de seguridad compensa incertidumbres en diseño y operación.
21;Materiales;Elasticidad;¿Qué propiedad describe la capacidad de un material de recuperar su forma original tras retirar la carga?;Ductilidad;Plasticidad;Elasticidad;Tenacidad;C;La elasticidad permite que el material vuelva a su forma original sin deformación permanente.
22;Materiales;Dureza;¿Qué ensayo se utiliza comúnmente para medir la dureza superficial en aceros?;Tracción;Izod;Rockwell;Fatiga;C;El ensayo Rockwell es rápido y muy usado en aceros industriales.
23;Materiales;Estructura;¿Qué estructura cristalina se forma en el acero después del templado?;Perlita;Ferrita;Austenita;Martensita;D;El templado genera martensita, responsable del aumento de dureza.
